Date,Open,High,Low,Adj Close,Volume,Target,MA5,MA10
2010-11-18,6.134,6.148,5.784,5.978,4780500,1,5.9876,5.6228
2010-11-19,6.032,6.274,5.94,6.198,5752500,1,6.0336,5.7538
2010-11-22,6.314,6.69,6.3,6.68,7648500,1,6.1376,5.922199999999999
2010-11-23,6.658,7.136,6.438,6.914,7889000,1,6.3336,6.1209999999999996
2010-11-24,7.054,7.194,6.866,7.094,7125000,0,6.572800000000001,6.2432
2010-11-26,7.12,7.2,6.95,7.064,1753000,0,6.790000000000001,6.3888
2010-11-29,7.082,7.19,6.666,6.866,5728000,1,6.9236,6.4786
2010-11-30,6.748,7.066,6.682,7.066,11113000,0,7.0008,6.5691999999999995
2010-12-01,7.174,7.284,6.69,6.87,6496000,0,6.992,6.6628
2010-12-02,6.802,6.86,6.24,6.47,10035000,0,6.8671999999999995,6.720000000000001
2010-12-03,6.402,6.45,6.174,6.298,5800500,0,6.714,6.752000000000001
2010-12-06,6.27,6.29,5.912,6.062,6372000,1,6.5531999999999995,6.7384
2010-12-07,6.098,6.48,6.01,6.312,6556500,1,6.4024,6.701600000000001
2010-12-08,6.496,6.498,6.304,6.474,3300000,0,6.3232,6.6576
2010-12-09,6.502,6.544,6.33,6.41,2030000,0,6.311200000000001,6.5892
2010-12-10,6.41,6.584,6.226,6.304,2147000,0,6.3124,6.5132
2010-12-13,6.328,6.354,6.08,6.11,2052000,0,6.322,6.437600000000001
2010-12-14,6.058,6.078,5.552,5.706,8828500,1,6.200800000000001,6.3016
2010-12-15,5.734,5.994,5.706,5.92,3714500,1,6.09,6.2066
2010-12-16,6.0,6.182,5.93,6.162,3950500,1,6.0404,6.175800000000001
2010-12-17,6.268,6.308,6.142,6.272,4065000,1,6.034000000000001,6.1732
2010-12-20,6.328,6.438,6.252,6.34,2617000,1,6.08,6.2010000000000005
2010-12-21,6.36,6.538,6.342,6.452,3888500,1,6.2292000000000005,6.215
2010-12-22,6.45,6.572,6.34,6.526,4166500,0,6.3504,6.2202
2010-12-23,6.252,6.496,5.984,6.018,7763000,0,6.3216,6.181
2010-12-27,5.604,5.716,5.012,5.11,46509500,1,6.0892,6.0616
2010-12-28,5.17,5.35,5.0,5.282,20281500,1,5.877599999999999,5.9788
2010-12-29,5.406,5.602,5.3,5.546,16596000,0,5.6964,5.9628
2010-12-30,5.54,5.58,5.276,5.3,10205500,1,5.4512,5.9008
2010-12-31,5.314,5.45,5.3,5.326,7089500,0,5.3128,5.8172
2011-01-03,5.368,5.4,5.18,5.324,6415000,1,5.3556,5.7224
2011-01-04,5.332,5.39,5.204,5.334,5937000,1,5.366,5.6217999999999995
2011-01-05,5.296,5.38,5.238,5.366,7233500,1,5.33,5.513199999999999
2011-01-06,5.366,5.6,5.362,5.576,10306000,1,5.385199999999999,5.4182
2011-01-07,5.6,5.716,5.58,5.648,11239500,1,5.449599999999999,5.381200000000001
2011-01-10,5.634,5.736,5.61,5.69,6713500,0,5.5228,5.4392
2011-01-11,5.718,5.742,5.384,5.392,8551000,0,5.5344,5.450200000000001
2011-01-12,5.402,5.48,5.304,5.392,4822000,0,5.5396,5.4348
2011-01-13,5.392,5.394,5.232,5.244,3618000,0,5.4732,5.4292
2011-01-14,5.23,5.316,5.122,5.15,5960000,0,5.373600000000001,5.4116
2011-01-18,5.096,5.128,4.95,5.128,8108500,0,5.2612000000000005,5.392
2011-01-19,5.054,5.094,4.75,4.806,11857500,0,5.144,5.3392
2011-01-20,4.806,4.89,4.474,4.524,11399500,1,4.970400000000001,5.255000000000001
2011-01-21,4.624,4.718,4.542,4.608,6085000,1,4.8432,5.1582
2011-01-24,4.706,4.962,4.646,4.898,8225500,1,4.7928,5.0832
2011-01-25,4.93,4.978,4.804,4.936,6357500,1,4.7543999999999995,5.0078000000000005
2011-01-26,4.942,4.976,4.82,4.95,5399500,1,4.783199999999999,4.9636
2011-01-27,4.948,5.016,4.906,4.984,4478500,0,4.8751999999999995,4.9228000000000005
2011-01-28,4.976,4.976,4.75,4.802,5242000,1,4.914,4.8786000000000005
2011-01-31,4.81,4.824,4.7,4.82,4151500,0,4.8984000000000005,4.845599999999999
2011-02-01,4.862,4.946,4.708,4.782,3539000,1,4.8676,4.811
2011-02-02,4.832,4.836,4.734,4.788,2847500,0,4.8351999999999995,4.8092
2011-02-03,4.764,4.78,4.63,4.726,2560000,0,4.7836,4.8294
2011-02-04,4.688,4.734,4.644,4.692,2720000,0,4.7616,4.8378
2011-02-07,4.652,4.652,4.576,4.614,4475500,1,4.7204,4.809399999999999
2011-02-08,4.756,5.05,4.6,4.898,17524500,0,4.7436,4.8056
2011-02-09,4.826,4.836,4.558,4.642,13178000,1,4.7143999999999995,4.774800000000001
2011-02-10,4.652,4.728,4.562,4.644,4180500,1,4.698,4.7408
2011-02-11,4.65,4.75,4.588,4.65,3172500,0,4.6896,4.7256
2011-02-14,4.728,4.828,4.61,4.616,6415500,0,4.6899999999999995,4.7052
2011-02-15,4.602,4.634,4.512,4.568,4768500,1,4.6240000000000006,4.6838
2011-02-16,4.62,4.994,4.614,4.946,20575500,0,4.6848,4.6996
2011-02-17,4.926,5.098,4.71,4.72,13092000,0,4.7,4.699
2011-02-18,4.666,4.698,4.592,4.636,11853500,0,4.6972000000000005,4.6934
2011-02-22,4.576,4.6,4.356,4.374,10323000,0,4.6488,4.6693999999999996
2011-02-23,4.436,4.5,4.222,4.366,8028000,1,4.6084,4.6162
2011-02-24,4.356,4.516,4.3,4.506,5276500,1,4.5204,4.6026
2011-02-25,4.562,4.77,4.538,4.722,6731500,1,4.5207999999999995,4.6104
2011-02-28,4.748,4.82,4.7,4.778,5256000,1,4.5492,4.6232
2011-03-01,4.81,4.864,4.74,4.788,5532000,1,4.632,4.6404
2011-03-02,4.764,4.856,4.746,4.804,3316500,1,4.7196,4.664
